,offence,Highest Offense Code,Occurred Date Time,Date,Time,LocType,Address,Zip Code,Council District,X,Y,Latitude,Longitude,Location
36578,THEFT OF LICENSE PLATE,614,03-08-2019 12:00,08-03-2019,1200,RESIDENCE / HOME,8439 BANGOR BND,78758,4,3124064,3124064,30.35459937,-97.7095585,"(30.35459937, -97.7095585)"
36585,BURGLARY OF VEHICLE,601,03-03-2019 02:00,03-03-2019,200,PARKING LOTS / GARAGE,2401 E 6TH ST,78702,3,3122791,3122791,30.25918458,-97.71618458,"(30.25918458, -97.71618458)"
36596,THEFT FROM PERSON,610,03-08-2019 18:00,08-03-2019,1800,RESTAURANTS,340 E 2ND ST,78701,9,3114937,3114937,30.26375847,-97.74094514,"(30.26375847, -97.74094514)"
36630,AUTO THEFT,700,03-07-2019 23:00,07-03-2019,2300,STREETS / HWY / ROAD / ALLEY,6205 TURTLE DOVE DR,78744,2,3112737,3112737,30.18625553,-97.74998937,"(30.18625553, -97.74998937)"
36632,THEFT,600,03-09-2019 19:15,09-03-2019,1915,RESTAURANTS,517 E 6TH ST,78701,9,3115936,3115936,30.26636905,-97.73770974,"(30.26636905, -97.73770974)"
36652,AGG ASSAULT,402,03-08-2019 15:35,08-03-2019,1535,PARKING LOTS / GARAGE,PORTER ST / MONTOPOLIS DR,78741,3,3128276,3128276,30.23105459,-97.69957406,"(30.23105459, -97.69957406)"
36655,THEFT FROM AUTO,603,02/21/2019 08:00:00 PM,21-02-2019,2000,PARKING LOTS / GARAGE,12342 HUNTERS CHASE DR,78729,6,3103620,3103620,30.4428668,-97.77205005,"(30.4428668, -97.77205005)"
36680,BURGLARY OF VEHICLE,601,03-01-2019 22:30,01-03-2019,2230,STREETS / HWY / ROAD / ALLEY,CUMMINGS ST / EAST AVE,78701,9,3115653,3115653,30.25546606,-97.73889941,"(30.25546606, -97.73889941)"
36693,BREACH OF COMPUTER SECURITY,1109,02-02-2019 17:36,02-02-2019,1736,RESIDENCE / HOME,9414 N LAMAR BLVD,78758,4,3127650,3127650,30.36499057,-97.69790197,"(30.36499057, -97.69790197)"
36700,BURGLARY OF RESIDENCE,500,03-12-2019 17:50,12-03-2019,1750,RESIDENCE / HOME,8209 SAM RAYBURN DR,78753,4,3127331,3127331,30.34666563,-97.69941421,"(30.34666563, -97.69941421)"
36704,THEFT,600,01/25/2019 02:30:00 PM,25-01-2019,1430,RESTAURANTS,6611 S MOPAC EXPY SVRD NB,78749,8,3085395,3085395,30.22035936,-97.83566731,"(30.22035936, -97.83566731)"
36711,THEFT,600,02-12-2019 19:50,12-02-2019,1950,RESIDENCE / HOME,5605 SPRINGDALE RD,78723,1,3135853,3135853,30.29930398,-97.67369558,"(30.29930398, -97.67369558)"
36725,THEFT FROM PERSON,610,02/26/2019 11:00:00 PM,26-02-2019,2300,RESIDENCE / HOME,9300 S IH 35 SVRD SB,78748,5,3100423,3100423,30.16548757,-97.78952006,"(30.16548757, -97.78952006)"
36750,BURGLARY OF VEHICLE,601,02/22/2019 12:00:00 PM,22-02-2019,1200,RESIDENCE / HOME,2301 DURWOOD ST,78704,9,3109883,3109883,30.24184309,-97.7575428,"(30.24184309, -97.7575428)"
36774,THEFT,600,02/21/2019 09:16:00 AM,21-02-2019,916,RESIDENCE / HOME,1121 TERRY DR,78721,1,3134207,3134207,30.26829828,-97.67976524,"(30.26829828, -97.67976524)"
36802,THEFT BY SHOPLIFTING,607,03-10-2019 20:10,10-03-2019,2010,DEPARTMENT / DISCOUNT STORE,5621 N IH 35 SVRD NB,78723,4,3125467,3125467,30.31639298,-97.70614968,"(30.31639298, -97.70614968)"
36809,BURGLARY OF RESIDENCE,500,03/13/2019 05:54:00 AM,13-03-2019,554,RESIDENCE / HOME,1601 MONTOPOLIS DR,78741,3,3127800,3127800,30.22771552,-97.70117271,"(30.22771552, -97.70117271)"
36864,BURGLARY OF VEHICLE,601,03-04-2019 07:00,04-03-2019,700,RESIDENCE / HOME,1901 CROSSING PL,78741,3,3122802,3122802,30.2320942,-97.71688386,"(30.2320942, -97.71688386)"
36891,THEFT,600,03-10-2019 08:20,10-03-2019,820,TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS),9700 WEST GATE BLVD,78748,5,3084393,3084393,30.18212096,-97.83982767,"(30.18212096, -97.83982767)"
36899,THEFT BY SHOPLIFTING,607,03-10-2019 11:04,10-03-2019,1104,COMMERCIAL / OFFICE BUILDING,5300 S MOPAC EXPY SVRD SB,78749,8,3088235,3088235,30.23409034,-97.82631692,"(30.23409034, -97.82631692)"
36918,THEFT FROM BUILDING,617,01/15/2019 03:43:00 PM,15-01-2019,1543,RESIDENCE / HOME,1307 WALLER ST,78702,1,3118588,3118588,30.27404383,-97.72909992,"(30.27404383, -97.72909992)"
36924,BURGLARY OF VEHICLE,601,03-11-2019 00:00,11-03-2019,0,PARKING LOTS / GARAGE,3000 GUADALUPE ST,78705,9,3114168,3114168,30.29727219,-97.74248227,"(30.29727219, -97.74248227)"
36939,THEFT,600,02/15/2019 03:00:00 PM,15-02-2019,1500,OTHER / UNKNOWN,5725 E PARMER LN,78653,1,3154045,3154045,30.36824133,-97.61409159,"(30.36824133, -97.61409159)"
36950,BURGLARY OF VEHICLE,601,03-10-2019 17:30,10-03-2019,1730,PARKING LOTS / GARAGE,1100 W CESAR CHAVEZ ST,78703,9,3109830,3109830,30.26896388,-97.75698713,"(30.26896388, -97.75698713)"
